iter	Passed	Remaining
289	540	1322
290	541	1319
291	542	1315
292	543	1311
293	544	1308
294	545	1304
295	546	1300
296	547	1296
297	548	1293
298	549	1289
299	551	1286
300	552	1283
301	554	1280
302	555	1276
303	556	1273
304	557	1269
305	558	1265
306	559	1263
307	562	1262
308	565	1263
309	568	1264
310	569	1261
311	570	1257
312	571	1253
313	572	1250
314	573	1246
315	574	1242
316	575	1239
317	576	1235
318	577	1232
319	578	1228
320	579	1225
321	580	1222
322	582	1220
323	584	1218
324	586	1217
325	587	1214
326	588	1211
327	589	1208
328	590	1205
329	591	1201
330	592	1197
331	593	1194
332	594	1190
333	597	1190
334	599	1190
335	601	1188
336	602	1185
337	603	1181
338	604	1178
339	605	1175
340	606	1171
341	607	1168
342	608	1165
343	609	1161
344	611	1161
345	613	1159
346	615	1158
347	616	1155
348	617	1152
349	618	1148
350	619	1145
351	620	1142
352	621	1138
353	622	1135
354	622	1131
355	623	1128
356	626	1129
357	628	1126
358	629	1124
359	630	1121
360	631	1118
361	632	1114
362	633	1111
363	634	1108
364	635	1105
365	636	1101
366	636	1098
367	637	1095
368	638	1092
369	642	1093
370	643	1091
371	645	1089
372	646	1086
373	646	1082
374	647	1079
375	648	1076
376	649	1073
377	650	1070
378	651	1067
379	652	1063
380	652	1060
381	653	1057
382	657	1059
383	659	1057
384	660	1054
385	661	1052
386	663	1050
387	664	1047
388	664	1044
389	665	1041
390	666	1038
391	667	1035
392	668	1032
393	670	1031
394	672	1030
395	673	1027
396	675	1025
397	676	1022
398	676	1019
399	677	1016
400	678	1013
401	679	1010
402	680	1007
403	681	1005
404	682	1002
405	683	999
406	684	996
407	685	994
408	686	992
409	687	989
410	688	986
411	689	983
412	690	980
413	690	977
414	691	975
415	692	972
416	693	969
417	694	966
418	695	964
419	696	961
420	697	958
421	697	955
422	699	953
423	700	951
424	701	948
425	702	946
426	703	943
427	704	941
428	705	938
429	705	935
430	706	933
431	707	930
432	708	927
433	709	925
434	710	922
435	711	919
436	711	917
437	712	914
438	713	912
439	714	909
440	715	906
441	716	904
442	717	901
443	718	899
444	719	896
445	719	894
446	720	891
447	721	889
448	722	886
449	723	884
450	724	881
451	725	879
452	726	876
453	726	874
454	727	871
455	728	869
456	729	866
457	730	864
458	731	861
459	732	859
460	732	856
461	733	854
462	734	852
